Place,Type,County,"Planning Region","Per capita income","Median household income","Median family income",Population,"Number of households"
Cheshire,Town,New Haven,Naugatuck Valley,"$40,498 ","$107,936 ","$123,539 ","29,261","10,041"
Prospect,Town,New Haven,Naugatuck Valley,"$40,126 ","$86,526 ","$99,028 ","9,405","3,357"
Southbury,Town,New Haven,Naugatuck Valley,"$40,022 ","$68,041 ","$104,838 ","19,904","8,213"
Bloomfield,Town,Hartford,Capitol Region,"$39,738 ","$68,372 ","$84,583 ","20,486","8,554"
Bethlehem,Town,Litchfield,Naugatuck Valley,"$39,704 ","$82,899 ","$86,792 ","3,607","1,411"
North Stonington,Town,New London,Southeastern CT,"$39,588 ","$88,869 ","$96,125 ","5,297","2,052"
Shelton,City,Fairfield,Naugatuck Valley,"$39,579 ","$105,417 ","$110,583 ","41,141","2,610"
Goshen,Town,Litchfield,Northwest Hills,"$39,562 ","$76,705 ","$86,114 ","2,976","1,192"
New Fairfield,Town,Fairfield,Western CT,"$39,486 ","$101,067 ","$108,720 ","13,881","4,802"
Hebron,Town,Tolland,Capitol Region,"$39,416 ","$108,444 ","$112,894 ","9,686","3,398"
Colebrook,Town,Litchfield,Northwest Hills,"$39,324 ","$72,000 ","$85,833 ","1,485",589
Eastford,Town,Windham,Northeastern CT,"$46,025 ","$100,673 ","$130,972 ","7,964","3,151"
Portland,Town,Middlesex,Lower CT River Valley,"$39,100 ","$86,661 ","$96,016 ","9,508","3,822"
South Windsor,Town,Hartford,Capitol Region,"$38,945 ","$88,350 ","$94,602 ","25,709","9,918"
New Milford,Town,Litchfield,Western CT,"$38,893 ","$84,824 ","$100,574 ","28,142","10,618"
Andover,Town,Tolland,Capitol Region,"$38,710 ","$84,274 ","$96,286 ","3,303","1,244"
Milford,City,New Haven,South Central CT,"$38,489 ","$76,973 ","$92,684 ","52,759","21,708"
Durham,Town,Middlesex,Lower CT River Valley,"$38,341 ","$80,656 ","$97,211 ","39,559","7,152"
Bozrah,Town,New London,Southeastern CT,"$38,339 ","$75,000 ","$99,625 ","2,627","1,007"
North Haven,Town,New Haven,South Central CT,"$38,286 ","$83,588 ","$94,916 ","24,093","9,135"
Westbrook,Town,Middlesex,Lower CT River Valley,"$38,158 ","$61,069 ","$72,969 ","6,938","2,948"
Berlin,Town,Hartford,Capitol Region,"$38,134 ","$86,211 ","$98,677 ","19,866","7,808"
Harwinton,Town,Litchfield,Northwest Hills,"$37,902 ","$85,253 ","$92,083 ","5,642","2,170"
Waterford,Town,New London,Southeastern CT,"$37,690 ","$69,810 ","$91,893 ","19,517","8,005"
Ledyard,Town,New London,Southeastern CT,"$37,663 ","$85,321 ","$97,152 ","15,051","5,634"
Wethersfield,Town,Hartford,Capitol Region,"$37,329 ","$71,284 ","$91,563 ","26,668","11,204"
Haddam,Town,Middlesex,Lower CT River Valley,"$37,324 ","$86,179 ","$100,343 ","8,346","3,218"
Ellington,Town,Tolland,Capitol Region,"$37,322 ","$81,582 ","$95,547 ","15,602","6,257"
Canaan,Town,Litchfield,Northwest Hills,"$37,283 ","$54,219 ","$77,500 ","1,234",583
East Haddam,Town,Middlesex,Lower CT River Valley,"$37,156 ","$82,695 ","$86,023 ","9,126","3,593"
Clinton,Town,Middlesex,Lower CT River Valley,"$37,117 ","$74,174 ","$82,839 ","13,260","5,303"
East Lyme,Town,New London,Southeastern CT,"$37,019 ","$79,815 ","$102,864 ","19,159","7,192"
Hartland,Town,Hartford,Northwest Hills,"$36,874 ","$85,956 ","$91,188 ","2,114",789
Columbia,Town,Tolland,Capitol Region,"$36,784 ","$76,786 ","$93,295 ","1,749",690
Middlefield,Town,Middlesex,Lower CT River Valley,"$36,747 ","$80,392 ","$94,432 ","4,425","1,742"
Morris,Town,Litchfield,Northwest Hills,"$36,682 ","$81,583 ","$97,381 ","2,388",958
Bethel,Town,Fairfield,Western CT,"$36,608 ","$83,483 ","$99,568 ","18,584","6,938"
Woodstock,Town,Windham,Northeastern CT,"$36,342 ","$74,000 ","$88,737 ","7,964","3,151"
North Branford,Town,New Haven,South Central CT,"$36,297 ","$80,618 ","$92,083 ","14,407","5,441"
Southington,Town,Hartford,Capitol Region,"$36,053 ","$77,673 ","$102,186 ","43,069","16,814"
Rocky Hill,Town,Hartford,Capitol Region,"$36,021 ","$72,417 ","$88,750 ","19,709","8,307"
Windsor,Town,Hartford,Capitol Region,"$35,780 ","$78,695 ","$90,856 ","29,044","11,233"
Deep River,Town,Middlesex,Lower CT River Valley,"$35,564 ","$65,250 ","$81,641 ","4,629","1,940"
Colchester,Town,New London,Southeastern CT,"$35,479 ","$92,431 ","$101,860 ","16,068","5,915"
Somers,Town,Tolland,Capitol Region,"$35,134 ","$98,977 ","$108,636 ","11,444","3,328"
Barkhamsted,Town,Litchfield,Northwest Hills,"$34,775 ","$87,656 ","$107,804 ","3,799","1,452"
Hampton,Town,Windham,Northeastern CT,"$34,642 ","$79,943 ","$84,079 ","1,863",747
Lebanon,Town,New London,Southeastern CT,"$34,608 ","$72,431 ","$80,566 ","7,308","2,644"
Hamden,Town,New Haven,South Central CT,"$34,596 ","$66,695 ","$88,613 ","60,960","23,727"
East Hampton,Town,Middlesex,Lower CT River Valley,"$34,555 ","$88,281 ","$95,854 ","12,959","5,060"
Coventry,Town,Tolland,Capitol Region,"$34,524 ","$86,244 ","$91,931 ","12,435","4,783"
Watertown,Town,Litchfield,Naugatuck Valley,"$34,158 ","$77,771 ","$93,194 ","22,514","8,672"
Pomfret,Town,Windham,Northeastern CT,"$33,910 ","$68,278 ","$82,917 ","4,247","1,582"
Wallingford,Town,New Haven,South Central CT,"$33,839 ","$71,317 ","$87,641 ","45,135","18,032"
Lisbon,Town,New London,Southeastern CT,"$33,685 ","$77,872 ","$86,469 ","4,338","1,659"
Wolcott,Town,New Haven,Naugatuck Valley,"$33,572 ","$78,882 ","$90,061 ","16,680","6,007"
Vernon,Town,Tolland,Capitol Region,"$33,160 ","$61,103 ","$77,649 ","29,179","12,976"
Preston,Town,New London,Southeastern CT,"$32,956 ","$77,377 ","$86,435 ","4,726","1,869"
Ashford,Town,Windham,Northeastern CT,"$32,842 ","$69,407 ","$79,157 ","4,317","1,716"
Voluntown,Town,New London,Northeastern CT,"$32,760 ","$73,980 ","$76,197 ","2,603","1,002"
Manchester,Town,Hartford,Capitol Region,"$32,752 ","$61,571 ","$77,018 ","58,241","24,689"
Beacon Falls,Town,New Haven,Naugatuck Valley,"$32,710 ","$81,214 ","$93,056 ","6,049","2,360"
Stratford,Town,Fairfield,Greater Bridgeport,"$32,590 ","$67,530 ","$83,369 ","51,384","20,095"
Newington,Town,Hartford,Capitol Region,"$32,561 ","$69,085 ","$80,597 ","30,562","12,550"
Seymour,Town,New Haven,Naugatuck Valley,"$32,346 ","$71,719 ","$92,981 ","16,540","6,654"
Chaplin,Town,Windham,Northeastern CT,"$32,188 ","$62,679 ","$72,426 ","2,305",920
Union,Town,Tolland,Northeastern CT,"$32,032 ","$79,911 ","$84,750 ",854,334
Thomaston,Town,Litchfield,Naugatuck Valley,"$31,652 ","$63,990 ","$77,842 ","7,887","3,108"
Franklin,Town,New London,Southeastern CT,"$31,518 ","$74,226 ","$87,237 ","1,922",729
Danbury,City,Fairfield,Western CT,"$31,461 ","$65,275 ","$74,420 ","80,893","28,907"
Middletown,City,Middlesex,Lower CT River Valley,"$31,348 ","$57,655 ","$78,006 ","47,648","19,863"
Sprague,Town,New London,Southeastern CT,"$31,226 ","$68,241 ","$78,438 ","2,984","1,135"
East Windsor,Town,Hartford,Capitol Region,"$31,162 ","$64,301 ","$76,502 ","11,162","4,750"
Groton,Town,New London,Southeastern CT,"$31,110 ","$56,904 ","$67,465 ","40,115","15,809"
Plainville,Town,Hartford,Capitol Region,"$31,000 ","$63,447 ","$80,205 ","17,716","7,580"
Canterbury,Town,Windham,Northeastern CT,"$30,453 ","$70,902 ","$84,093 ","5,132","1,934"
Windsor Locks,Town,Hartford,Capitol Region,"$30,436 ","$59,369 ","$70,439 ","12,498","5,223"
Plymouth,Town,Litchfield,Naugatuck Valley,"$30,081 ","$71,630 ","$82,438 ","12,243","4,803"
Bristol,City,Hartford,Naugatuck Valley,"$29,629 ","$58,537 ","$72,038 ","60,477","25,320"
Willington,Town,Tolland,Capitol Region,"$29,616 ","$62,500 ","$96,422 ","6,041","2,423"
Griswold,Town,New London,Southeastern CT,"$29,421 ","$59,295 ","$75,870 ","11,951","4,646"
Scotland,Town,Windham,Northeastern CT,"$29,371 ","$75,417 ","$79,722 ","1,726",637
Enfield,Town,Hartford,Capitol Region,"$29,340 ","$67,402 ","$77,554 ","44,654","16,794"
Groton,City,New London,Southeastern CT,"$28,872 ","$49,464 ","$52,366 ","10,389","4,182"
East Haven,Town,New Haven,South Central CT,"$28,638 ","$59,918 ","$69,837 ","29,257","11,756"
Montville,Town,New London,Southeastern CT,"$28,492 ","$65,349 ","$80,156 ","19,571","6,942"
Stafford,Town,Tolland,Capitol Region,"$28,027 ","$64,494 ","$69,789 ","12,087","4,767"
